X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8547858.7927,4455527.7454,122,"Mount Nebo Solar Partners, LLC",RE0000101,FC,2019/12/03 11:34:48+00,SMTRIPP,2019/12/03 11:34:49+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000101,RE0000101,"Mount Nebo Solar Partners, LLC",80,Solar,NOI - Active,,,,181,Surry,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8768858.9288,4413845.6419,123,"Piney Creek Solar, LLC",RE0000087,FC,2019/12/03 11:38:50+00,SMTRIPP,2019/12/03 11:38:51+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000087,RE0000087,"Piney Creek Solar, LLC",700,Solar,NOI - Active,,,,083,Halifax,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8428173.8648,4538493.985,124,SunTec Solar Solutions LLC,RE0000008,FC,2019/12/03 12:03:58+00,SMTRIPP,2019/12/03 12:03:59+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000008,RE0000008,"SunTec Solar ESVA One, LLC",500,Solar,NOI - Active,,,,001,Accomack,TRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8782073.2202,4489020.9272,125,Spout Springs Solar LLC,RE0000036,FC,2019/12/06 11:57:49+00,SMTRIPP,2019/12/06 11:57:49+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000036,RE0000036,Spout Springs Solar LLC,85,Solar,NOI - Active,,,,011,Appomattox,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8522989.3506,4395576.2906,126,,RE0000153,FC,2020/02/20 11:00:36+00,SMTRIPP,2020/02/20 11:00:36+00,SMTRIPP,2020/02/20 11:00:36+00,SMTRIPP,,,,,,,,,,,,,,,
-8590069.6965,4450202.6534,127,,RE0000152,PG,2020/02/20 11:03:19+00,SMTRIPP,2020/02/20 11:03:19+00,SMTRIPP,2020/02/20 11:03:19+00,SMTRIPP,750000000153,RE0000152,Cabin Point Solar Center LLC,700,Solar,NOI - Active,,,,183,Sussex,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8592727.004,4545941.3942,128,,RE0000155,FC,2020/03/13 07:38:39+00,SMTRIPP,2020/03/13 07:38:39+00,SMTRIPP,2020/03/13 07:38:39+00,SMTRIPP,750000000156,RE0000155,Sweet Sue Solar LLC,576,Solar,NOI - Active,,,,101,King_William,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8623777.7949,4484186.1867,129,,RE0000156,FC,2020/03/23 13:40:03+00,SMTRIPP,2020/03/23 13:40:03+00,SMTRIPP,2020/03/23 13:40:03+00,SMTRIPP,750000000157,RE0000156,"Chester Solar Technology Park, LLC",1675,Solar,NOI - Active,,,,041,Chesterfield,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8628747.9875,4414383.3849,130,,RE0000157,FC,2020/03/23 13:50:34+00,SMTRIPP,2020/03/23 13:50:34+00,SMTRIPP,2020/03/23 13:50:34+00,SMTRIPP,750000000158,RE0000157,"Jarratt Energy Facility, LLC",500,Solar,NOI - Active,,,,081,Greensville,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8667712.9262,4567633.3829,131,,RE0000162,FC,2020/06/05 08:33:31+00,SMTRIPP,2020/06/05 08:33:31+00,SMTRIPP,2020/06/05 08:33:31+00,SMTRIPP,750000000163,RE0000162,Apple Grove Solar,147,Solar,NOI - Active,,,,109,Louisa,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
